               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.089605,            0.011832,            0.036895,             0.31327,             0.53272,             0.32591,             0.10504,            0.089174,            0.009895,            0.035619,             0.00307,             0.00307,             0.00307
                  37,            0.091139,            0.012695,            0.036368,             0.29101,             0.52566,             0.32808,             0.10867,            0.089403,            0.010422,            0.035243,            0.002872,            0.002872,            0.002872
                  38,            0.089812,            0.011883,            0.036721,             0.23591,             0.51921,             0.32279,            0.098651,            0.085858,            0.010713,            0.034966,            0.002674,            0.002674,            0.002674
                  39,            0.088374,            0.011385,            0.037295,             0.23536,             0.48265,             0.29476,            0.077846,            0.086769,            0.010545,            0.034746,            0.002476,            0.002476,            0.002476
                  40,             0.08507,            0.011827,            0.037019,             0.26568,             0.50552,             0.31507,             0.11002,              0.0861,             0.01051,            0.034526,            0.002278,            0.002278,            0.002278
                  41,            0.084597,            0.012609,            0.036653,             0.27322,             0.58792,             0.31577,             0.10327,            0.084976,            0.010178,             0.03427,             0.00208,             0.00208,             0.00208
                  42,            0.081854,            0.012687,            0.036527,             0.26218,             0.54878,             0.29791,            0.096917,            0.083105,            0.010445,            0.034078,            0.001882,            0.001882,            0.001882
                  43,            0.082108,             0.01175,            0.035649,             0.29294,             0.51847,             0.32113,             0.11115,            0.083177,            0.010336,            0.033902,            0.001684,            0.001684,            0.001684
                  44,            0.084659,            0.012459,             0.03605,             0.31371,             0.54878,             0.31855,             0.10116,            0.083114,            0.010264,            0.033789,            0.001486,            0.001486,            0.001486
                  45,            0.082361,            0.013374,            0.036533,             0.31862,             0.50711,             0.32785,             0.10791,            0.082398,            0.010317,             0.03374,            0.001288,            0.001288,            0.001288
                  46,            0.080802,            0.012082,             0.03703,             0.31306,             0.54878,             0.32899,              0.1036,            0.082977,            0.010132,            0.033706,             0.00109,             0.00109,             0.00109
                  47,            0.080748,            0.012503,            0.035434,             0.29687,             0.53562,             0.31326,            0.099816,            0.082693,            0.010306,            0.033631,            0.000892,            0.000892,            0.000892
                  48,            0.080748,            0.013339,            0.035539,             0.32138,             0.56014,             0.33134,             0.10883,            0.081598,            0.010205,            0.033681,            0.000694,            0.000694,            0.000694
                  49,            0.080702,            0.012828,            0.035685,             0.33302,              0.6139,             0.32611,             0.10282,            0.081629,            0.010175,            0.033737,            0.000496,            0.000496,            0.000496
